station_id,trips_started,name,lat,lon,capacity
7288,11251,Humber Bay Shores Park West,43.6224434,-79.480284,31
7289,10995,Humber Bay Shores Park East,43.6308933,-79.4722622,23
7291,8629,190 Queens Quay E,43.6451308,-79.3653644,15
7292,14204,Granby St / Church St - SMART,43.6614605,-79.3789457,24
7296,4100,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19
7297,2610,Havelock St / Dufferin Park,43.657343,-79.43112,19
7298,19710,Bathurst St / Adelaide St W,43.645324,-79.40345,25
7299,14915,Mill St / Parliament St,43.650256,-79.36163,15
7301,631,Primrose Ave / Davenport Rd,43.67142,-79.445947,15
7302,3094,Winona Dr / Davenport Rd,43.674923,-79.430465,11
7303,2344,Queen St E / Woodward Ave,43.665269,-79.319796,19
7309,2199,Queen St. E / Rhodes Ave.,43.666224,-79.317693,23
7311,16453,Sherbourne St / Isabella St,43.669576,-79.375961,19
7312,4201,Amelia St. / Sumach St.,43.66852,-79.363525,11
7313,2986,Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,15
7314,2256,Queen St. E / Eastern Ave,43.667208,-79.312315,15
7315,687,Queen St E / Hammersmith Ave,43.671349,-79.29451,11
7316,1096,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15
7317,2049,Hubbard Blvd / Balsam Av,43.669328,-79.288949,19
7318,1846,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15
7319,1932,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,11
7320,6149,Front St W / University Ave (1),43.6451635,-79.3831757,18
7321,12222,Front St W / University Ave (2),43.6452972,-79.3827914,19
7322,24940,E Liberty St / Western Battery Rd,43.6392777,-79.4115736,18
7323,7828,457 King St W,43.6452091,-79.3960744,19
7324,20432,King St W / Charlotte St,43.645572,-79.39399,23
7326,2112,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,19
7327,2150,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,16
7328,4200,Roxborough St W / Yonge St,43.678077,-79.390328,17
7329,9713,Crawford St / Queen St W,43.645665,-79.415345,19
7331,548,Coxwell Ave / Plains Rd,43.69595,-79.328535,19
7332,4476,200 Bloor St E,43.671561,-79.38117,23
7333,13218,King St E / Victoria St,43.6495789,-79.3762096,19
7334,6259,Simcoe St / Wellington St W North,43.6462176,-79.3855048,15
7335,8232,Bay St / Bloor St W (West Side),43.669244,-79.3894,19
7336,3444,Queen St E / Alton Av,43.663912,-79.327987,19
7337,7417,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,19
7338,2701,Logan Ave / Bain Ave,43.6720273,-79.3470557,11
7339,2619,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15
7340,2623,Blake St / Boultbee Ave,43.672453,-79.338259,15
7341,1181,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,14
7342,2756,Morse St / Eastern Ave,43.657991,-79.340075,11
7343,3415,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,23
7344,12392,Cherry Beach,43.637764,-79.345359,49
7345,3523,Cherry Beach Sports Field (55 Unwin Ave),43.6408346,-79.3429074,15
7346,4687,Logan Av / Gerrard St E,43.6672144,-79.3452697,15
7347,1467,Regal Rd / Dufferin St,43.673939,-79.441159,15
7348,1455,Pape Ave / Gamble Ave,43.690237,-79.350119,19
7349,2817,Gamble Ave / Broadview Ave,43.689211,-79.35438,23
7350,2873,Broadview Ave / Westwood Ave,43.6848652,-79.356602,23
7351,3216,Pretoria Av / Broadview Av,43.6783213,-79.35822,19
7352,2329,Cosburn Ave / Donlands Ave,43.690537,-79.341307,19
7353,1449,Fulton Ave / Pape Ave,43.68395,-79.347046,19
7354,8860,Tommy Thompson Park (Leslie Street Spit),43.6522266222553,-79.3229544095408,31
7355,1517,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,15
7356,6341,King St E / Berkeley St,43.651885,-79.3649,17
7357,8788,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,19
7359,1505,Rosedale Park (20 Schofield Ave),43.682645,-79.377557,23
7360,4403,Concord Av / Dewson St,43.656945,-79.424911,17
7361,2042,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,19
7362,3709,St Clair Ave W / Bathurst St.,43.683296,-79.418734,19
7363,1719,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,15
7364,1085,Queen St E / Nursewood Rd,43.673831,-79.281455,18
7365,2289,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,23
7366,10608,Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,20
7367,3949,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,16
7368,7585,Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,8
7369,3426,Dupont St / Emerson Ave SMART,43.667266,-79.443946,16
7371,793,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20
7373,8099,George St / King St E,43.6509552,-79.3707,15
7374,4244,Frederick St / The Esplanade,43.6487245,-79.36839,19
7375,10805,Front St E / Scott St,43.6476616,-79.37549,10
7376,2406,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19
7377,1510,Balliol St / Yonge St  SMART,43.6978701,-79.39419,20
7378,2981,Yonge St / Davisville Ave,43.6975969,-79.39654,15
7379,3597,Lawton Blvd / Yonge St,43.6910667,-79.39535,15
7380,1426,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,16
7381,4903,Yonge St / Orchard View Blvd,43.7083577,-79.398862,35
7382,14589,Simcoe St / Adelaide St W,43.6481303,-79.38632,20
7383,7659,12 Harbour St,43.6425636,-79.3762,13
7384,9017,Cumberland Ave / Bay St SMART,43.6704537,-79.39014,9
7385,10963,20 Charles St E,43.6691099,-79.38551,22
7386,7705,D'Arcy St / McCaul St - SMART,43.655227,-79.39201,15
7387,1805,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,12
7388,6466,Broadview Subway Station,43.6772,-79.35858,15
7389,21474,College Park - Gerrard Entrance,43.658938,-79.383518,25
7391,17359,Yonge St / Dundas Sq,43.655766,-79.3802,27
7395,273,Dentonia Park,43.694341,-79.291416,23
7398,13858,York St / Lake Shore Blvd W,43.641952,-79.380723,19
7399,22137,Lower Jarvis / Queens Quay E,43.64422,-79.36927,18
7400,7169,Polson Pier,43.641675,-79.354006,23
7403,1465,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,19
7404,2249,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,19
7406,16031,Victoria St / Queen St E,43.652822,-79.378208,23
7407,5144,University Ave / Queen St W,43.65158,-79.38655,23
7408,5606,University Ave / Armoury St,43.65263,-79.38766,23
7409,13163,Isabella St / Church St,43.66834,-79.38235,19
7410,6322,Howard St / Rose Ave,43.671278,-79.372127,19
7411,11625,Little Norway Park,43.635023,-79.399505,22
7412,9583,King St W / Crawford St,43.6417852,-79.4131148,23
7414,1998,Keele St / Annette St,43.66402,-79.46418,15
7415,1853,Keele St / Vine Ave,43.66686,-79.46526,23
7416,10889,Spadina Ave / Blue Jays Way,43.641705,-79.393295,30
7417,10005,King St W / Jordan St,43.648928,-79.378623,11
7418,23791,College Park - Yonge St Entrance,43.65988,-79.38279,25
7419,9994,Bloor St W / Huron St,43.667023,-79.401805,27
7420,4525,Barton St / Howland St - SMART,43.66842,-79.410585,19
7422,4144,Tyndall Ave / King St W - SMART,43.638426,-79.429142,16
7424,2167,Merton St / Mount Pleasant Rd,43.697819,-79.38786,23
7425,934,The Queensway at South Kingsway,43.63632,-79.47307,23
7427,7603,Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,27
7428,2118,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,27
7429,2106,Woodbine Subway Station,43.686442,-79.313404,15
7430,20066,Marilyn Bell Park Tennis Court,43.633537,-79.437461,27
7431,2777,Gerrard St E / Leslie St,43.669813,-79.3335,23
7432,13232,Frederick St / King St E,43.651118,-79.369411,23
7433,3949,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,16
7434,1863,Via Italia / Mackay Ave,43.676697,-79.445029,15
7435,1775,Rushton Rd / St Clair Ave W,43.68114,-79.4277,10
7437,6617,Concord Ave / Bloor St W,43.66189,-79.42679,15
7438,1848,Gothic Ave / Quebec Ave,43.65389,-79.4675,19
7440,10464,Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,27
7441,2914,Pacific Ave / Glenlake Ave,43.65716,-79.46478,23
7442,1756,Lonsdale Rd / Spadina Rd,43.688526,-79.412903,15
7443,7893,Dundas St E / George St,43.6574766,-79.373446,25
7444,981,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20
7445,3376,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,19
7446,1365,Orchard Park,43.66908,-79.3149,19
7447,1198,Trent Ave / Danforth Ave,43.689293,-79.295895,23
7448,337,Goodwood Park Ct / Dentonia Park,43.694826,-79.295208,19
7449,802,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,15
7450,4532,Carlaw Ave / Danforth Ave,43.678285,-79.347346,15
7451,6158,Western Battery Rd / Pirandello St,43.640075,-79.414156,31
7452,9510,Bleecker St / St James Ave,43.669232,-79.374495,23
7453,8884,Jarvis St / Maitland Pl,43.6647688,-79.3772602,17
7454,3959,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,15
7455,1493,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,27
7457,11594,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,23
7458,12003,Church St / Lombard St,43.651678,-79.375233,17
7459,2184,St Clair Ave W / Winona Ave,43.680466,-79.432522,11
7460,1460,High Park Outdoor Pool,43.649217,-79.465319,26
7461,3674,High Park Amphitheatre,43.645653,-79.464366,22
7462,21631,Richmond St E / Yonge St,43.651838,-79.378743,17
7463,12242,Adelaide St W / Brant St,43.6462574,-79.3973381,17
7465,2452,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,19
7466,3258,Glendonwynne Ave / Bloor St W,43.65182,-79.47421,19
7467,16735,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,14
7468,7116,Front St W / Simcoe St,43.6442,-79.38702,19
7469,6775,Wellington St W / York St,43.646734,-79.38301,23
